,Row,Description,Descrition_Trad
80,FLOORSMIN_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
81,LANDAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
82,LIVINGAPARTMENTS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
83,LIVINGAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
84,NONLIVINGAPARTMENTS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
85,NONLIVINGAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
86,FONDKAPREMONT_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
87,HOUSETYPE_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
88,TOTALAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
89,WALLSMATERIAL_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
90,EMERGENCYSTATE_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor","Informations normalisées sur le bâtiment où vit le client, quelle est la moyenne (Suffixe _avg), Modus (Suffixe _mode), la taille de l'appartement médian (_medi suffixe), la surface commune, la surface habitable, l'âge du bâtiment, le nombre d'ascenseurs, nombre d'entrées, étatdu bâtiment, nombre de sol"
91,OBS_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 30 DPD (days past due) default,Combien d'observation de l'environnement social du client avec 30 DPD observable (Jours antérieurs) par défaut
92,DEF_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 30 DPD (days past due) ,Combien d'observation des environnements sociaux du client défaut sur 30 DPD (jours après-jours)
93,OBS_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 60 DPD (days past due) default,Combien d'observation des environnements sociaux du client avec 60 DPD observables (Jours antérieurs) par défaut
94,DEF_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 60 (days past due) DPD,Combien d'observation des environnements sociaux du client ont fait défaut sur 60 DPD (jours après-vente)
95,DAYS_LAST_PHONE_CHANGE,How many days before application did client change phone,Combien de jours avant l'application du client a changé de téléphone
96,FLAG_DOCUMENT_2,Did client provide document 2,Le client a-t-il fourni le document 2
97,FLAG_DOCUMENT_3,Did client provide document 3,Le client a-t-il fourni le document 3
98,FLAG_DOCUMENT_4,Did client provide document 4,Le client a-t-il fourni le document 4
99,FLAG_DOCUMENT_5,Did client provide document 5,Le client a-t-il fourni le document 5
100,FLAG_DOCUMENT_6,Did client provide document 6,Le client a-t-il fourni le document 6
101,FLAG_DOCUMENT_7,Did client provide document 7,Le client a-t-il fourni le document 7
102,FLAG_DOCUMENT_8,Did client provide document 8,Le client a-t-il fourni le document 8
103,FLAG_DOCUMENT_9,Did client provide document 9,Le client a-t-il fourni le document 9
104,FLAG_DOCUMENT_10,Did client provide document 10,Le client a-t-il fourni le document 10
105,FLAG_DOCUMENT_11,Did client provide document 11,Le client a-t-il fourni le document 11
106,FLAG_DOCUMENT_12,Did client provide document 12,Le client a-t-il fourni le document 12
107,FLAG_DOCUMENT_13,Did client provide document 13,Le client a-t-il fourni le document 13
108,FLAG_DOCUMENT_14,Did client provide document 14,Le client a-t-il fourni le document 14
109,FLAG_DOCUMENT_15,Did client provide document 15,Le client a-t-il fourni le document 15
110,FLAG_DOCUMENT_16,Did client provide document 16,Le client a-t-il fourni le document 16
111,FLAG_DOCUMENT_17,Did client provide document 17,Le client a-t-il fourni le document 17
112,FLAG_DOCUMENT_18,Did client provide document 18,Le client a-t-il fourni le document 18
113,FLAG_DOCUMENT_19,Did client provide document 19,Le client a-t-il fourni le document 19
114,FLAG_DOCUMENT_20,Did client provide document 20,Le client a-t-il fourni le document 20
115,FLAG_DOCUMENT_21,Did client provide document 21,Le client a-t-il fourni le document 21
116,AMT_REQ_CREDIT_BUREAU_HOUR,Number of enquiries to Credit Bureau about the client one hour before application,Nombre de demandes de renseignements au Bureau du crédit sur le client une heure avant l'application
117,AMT_REQ_CREDIT_BUREAU_DAY,Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application),Nombre de demandes de renseignements au Bureau du crédit sur le client un jour avant la demande (à l'exclusion d'une heure avant la demande)
118,AMT_REQ_CREDIT_BUREAU_WEEK,Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application),Nombre de demandes de renseignements au Bureau du crédit sur le client une semaine avant la demande (à l'exclusion d'une journée avant la demande)
119,AMT_REQ_CREDIT_BUREAU_MON,Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application),Nombre de demandes de renseignements au bureau de crédit sur le client un mois précédant la demande (à l'exclusion d'une semaine avant la demande)
120,AMT_REQ_CREDIT_BUREAU_QRT,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application),Nombre de demandes de renseignements au Bureau du crédit sur le client 3 mois avant la demande (à l'exclusion d'un mois avant la demande)
121,AMT_REQ_CREDIT_BUREAU_YEAR,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application),Nombre de demandes de renseignements au Bureau du crédit sur le client une année d'une journée (à l'exclusion des 3 derniers mois avant la demande)
122,SK_ID_CURR,"ID of loan in our sample - one loan in our sample can have 0,1,2 or more related previous credits in credit bureau ","ID de prêt dans notre échantillon - un prêt de notre échantillon peut avoir 0,1,2 crédits précédents ou plus dans le bureau de crédit."
123,SK_BUREAU_ID,Recoded ID of previous Credit Bureau credit related to our loan (unique coding for each loan application),ID recodé du crédit précédent du Bureau du crédit relatif à notre prêt (codage unique pour chaque demande de prêt)
124,CREDIT_ACTIVE,Status of the Credit Bureau (CB) reported credits,Statut du bureau de crédit (CB) des crédits signalés
125,CREDIT_CURRENCY,Recoded currency of the Credit Bureau credit,Devise recodée du crédit du Bureau de crédit
126,DAYS_CREDIT,How many days before current application did client apply for Credit Bureau credit,Combien de jours avant la demande actuelle du client du CRÉDIT BUREAU
127,CREDIT_DAY_OVERDUE,Number of days past due on CB credit at the time of application for related loan in our sample,Nombre de jours après le crédit CB au moment de la demande de prêt connexe dans notre échantillon
128,DAYS_CREDIT_ENDDATE,Remaining duration of CB credit (in days) at the time of application in Home Credit,Durée restante du crédit CB (en jours) au moment de la demande au crédit à domicile
129,DAYS_ENDDATE_FACT,Days since CB credit ended at the time of application in Home Credit (only for closed credit),Jours depuis le crédit CB terminé au moment de la demande de crédit à domicile (uniquement pour le crédit fermé)
130,AMT_CREDIT_MAX_OVERDUE,Maximal amount overdue on the Credit Bureau credit so far (at application date of loan in our sample),Montant maximal en retard sur le crédit du Bureau de crédit jusqu'à présent (à la date de la date de prêt dans notre échantillon)
131,CNT_CREDIT_PROLONG,How many times was the Credit Bureau credit prolonged,Combien de fois le crédit du Bureau de crédit a-t-il été prolongé?
132,AMT_CREDIT_SUM,Current credit amount for the Credit Bureau credit,Montant de crédit actuel pour le crédit du Bureau de crédit
133,AMT_CREDIT_SUM_DEBT,Current debt on Credit Bureau credit,Dette actuelle sur le crédit du Bureau de crédit
134,AMT_CREDIT_SUM_LIMIT,Current credit limit of credit card reported in Credit Bureau,Limite de crédit actuelle de carte de crédit signalée dans le Bureau du crédit
135,AMT_CREDIT_SUM_OVERDUE,Current amount overdue on Credit Bureau credit,Montant courant en retard sur le crédit du Bureau de crédit
136,CREDIT_TYPE,"Type of Credit Bureau credit (Car, cash,...)","Type de crédit du Bureau de crédit (carte, argent, ...)"
137,DAYS_CREDIT_UPDATE,How many days before loan application did last information about the Credit Bureau credit come,Combien de jours avant la demande de prêt Dernières informations sur le crédit du Bureau de crédit viennent
138,AMT_ANNUITY,Annuity of the Credit Bureau credit,Rente du crédit du Bureau de crédit
139,SK_BUREAU_ID,Recoded ID of Credit Bureau credit (unique coding for each application) - use this to join to CREDIT_BUREAU table ,ID enregistré du crédit Bureau du crédit (codage unique pour chaque application) - Utilisez ceci pour rejoindre la table du Bureau de crédit
140,MONTHS_BALANCE,Month of balance relative to application date (-1 means the freshest balance date),Mois de solde relatif à la date de la demande (-1 signifie la date de l'équilibre le plus frais)
141,STATUS,"Status of Credit Bureau loan during the month (active, closed, DPD0-30, [C means closed, X means status unknown, 0 means no DPD, 1 means maximal did during month between 1-30, 2 means DPD 31-60, 5 means DPD 120+ or sold or written off ] )","Statut du prêt du Bureau de crédit Au cours du mois (actif, fermé, DPD0-30, [C désactif fermé, X signifie statut inconnu, 0 signifie pas de DPD, 1 signifie maximal le faisait pendant 1-30, 2 signifie DPD 31-60,5 signifie DPD 120+ ou vendu ou écrit]))"
142,SK_ID_PREV ,"ID of previous credit in Home Credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)","ID du crédit précédent dans le crédit d'origine relative au prêt dans notre échantillon.(Un prêt dans notre échantillon peut avoir 0,1,2 ou plusieurs prêts antérieurs au crédit à la maison)"
143,SK_ID_CURR,ID of loan in our sample,ID de prêt dans notre échantillon
144,MONTHS_BALANCE,"Month of balance relative to application date (-1 means the information to the freshest monthly snapshot, 0 means the information at application - often it will be the same as -1 as many banks are not updating the information to Credit Bureau regularly )","Mois de solde relatif à la date de la demande (-1 désigne les informations à l'instantané mensuel le plus frais, 0 désigne les informations à l'application - souvent, elle sera la même que -1 que de nombreuses banques ne mettent pas à jour régulièrement les informations au bureau de crédit régulièrement)"
145,CNT_INSTALMENT,Term of previous credit (can change over time),Terme du crédit précédent (peut changer avec le temps)
146,CNT_INSTALMENT_FUTURE,Installments left to pay on the previous credit,Les versements laissés à payer sur le crédit précédent
147,NAME_CONTRACT_STATUS,Contract status during the month,Statut du contrat pendant le mois
148,SK_DPD,DPD (days past due) during the month of previous credit,DPD (jours après-vente) au cours du mois de crédit précédent
149,SK_DPD_DEF,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit,DPD durant le mois de tolérance (des dettes avec des montants de prêt faible sont ignorés) du crédit précédent
150,SK_ID_PREV ,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)","ID du crédit précédent dans le crédit d'origine relative au prêt dans notre échantillon.(Un prêt dans notre échantillon peut avoir 0,1,2 ou plusieurs prêts antérieurs au crédit à la maison)"
151,SK_ID_CURR,ID of loan in our sample,ID de prêt dans notre échantillon
152,MONTHS_BALANCE,Month of balance relative to application date (-1 means the freshest balance date),Mois de solde relatif à la date de la demande (-1 signifie la date de l'équilibre le plus frais)
153,AMT_BALANCE,Balance during the month of previous credit,Équilibre au cours du mois de crédit précédent
154,AMT_CREDIT_LIMIT_ACTUAL,Credit card limit during the month of the previous credit,Limite de carte de crédit pendant le mois du crédit précédent
155,AMT_DRAWINGS_ATM_CURRENT,Amount drawing at ATM during the month of the previous credit,Montant dessin au guichet automatique pendant le mois du crédit précédent
156,AMT_DRAWINGS_CURRENT,Amount drawing during the month of the previous credit,Montant dessin pendant le mois du crédit précédent
157,AMT_DRAWINGS_OTHER_CURRENT,Amount of other drawings during the month of the previous credit,Quantité d'autres dessins au cours du mois du crédit précédent
158,AMT_DRAWINGS_POS_CURRENT,Amount drawing or buying goods during the month of the previous credit,Montant de dessin ou d'achat de biens au cours du mois du crédit précédent
159,AMT_INST_MIN_REGULARITY,Minimal installment for this month of the previous credit,Acompte minimal pour ce mois du crédit précédent
160,AMT_PAYMENT_CURRENT,How much did the client pay during the month on the previous credit,Combien le client a-t-il payé pendant le mois du crédit précédent?
161,AMT_PAYMENT_TOTAL_CURRENT,How much did the client pay during the month in total on the previous credit,Combien le client a-t-il payé pendant le mois au total sur le crédit précédent?
162,AMT_RECEIVABLE_PRINCIPAL,Amount receivable for principal on the previous credit,Montant à recevoir pour le capital sur le crédit précédent
163,AMT_RECIVABLE,Amount receivable on the previous credit,Montant à recevoir sur le crédit précédent
164,AMT_TOTAL_RECEIVABLE,Total amount receivable on the previous credit,Montant total à recevoir sur le crédit précédent
165,CNT_DRAWINGS_ATM_CURRENT,Number of drawings at ATM during this month on the previous credit,Nombre de dessins au guichet ATM au cours de ce mois sur le crédit précédent
166,CNT_DRAWINGS_CURRENT,Number of drawings during this month on the previous credit,Nombre de dessins au cours de ce mois sur le crédit précédent
167,CNT_DRAWINGS_OTHER_CURRENT,Number of other drawings during this month on the previous credit,Nombre d'autres dessins au cours de ce mois sur le crédit précédent
168,CNT_DRAWINGS_POS_CURRENT,Number of drawings for goods during this month on the previous credit,Nombre de dessins pour les marchandises au cours de ce mois sur le crédit précédent
169,CNT_INSTALMENT_MATURE_CUM,Number of paid installments on the previous credit,Nombre de versements payés sur le crédit précédent
170,NAME_CONTRACT_STATUS,"Contract status (active signed,...) on the previous credit","Statut du contrat (signé actif, ...) sur le crédit précédent"
171,SK_DPD,DPD (Days past due) during the month on the previous credit,DPD (jours après-vente) pendant le mois du crédit précédent
172,SK_DPD_DEF,DPD (Days past due) during the month with tolerance (debts with low loan amounts are ignored) of the previous credit,DPD (jours après-vente) au cours du mois de tolérance (des dettes à faible prêt sont ignorées) du crédit précédent
173,SK_ID_PREV ,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loan applications in Home Credit, previous application could, but not necessarily have to lead to credit) ","ID du crédit précédent dans le crédit d'origine relative au prêt dans notre échantillon.(Un prêt de notre échantillon peut avoir 0,1,2 ou plusieurs demandes de prêt précédentes au crédit d'origine, une demande antérieure pourrait, mais pas nécessairement à conduire au crédit)"
174,SK_ID_CURR,ID of loan in our sample,ID de prêt dans notre échantillon
175,NAME_CONTRACT_TYPE,"Contract product type (Cash loan, consumer loan [POS] ,...) of the previous application","Type de produit sous contrat (prêt en espèces, prêt à la consommation [POS], ...) de la demande précédente"
176,AMT_ANNUITY,Annuity of previous application,Rente de l'application précédente
177,AMT_APPLICATION,For how much credit did client ask on the previous application,Pour combien de crédit client a demandé à la demande précédente
178,AMT_CREDIT,"Final credit amount on the previous application. This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT","Montant de crédit final sur la demande précédente.Cela diffère de AMT_Application de manière à ce que l'AMT_APLICATION est le montant pour lequel le client a initialement demandé, mais lors de notre processus d'approbation, il aurait pu recevoir une quantité différente - amt_credit"
179,AMT_DOWN_PAYMENT,Down payment on the previous application,Acompte sur la demande précédente
180,AMT_GOODS_PRICE,Goods price of good that client asked for (if applicable) on the previous application,Prix des biens de bien que le client a demandé (le cas échéant) sur la demande précédente
181,WEEKDAY_APPR_PROCESS_START,On which day of the week did the client apply for previous application,Le jour de la semaine du client appliqué pour une demande précédente
182,HOUR_APPR_PROCESS_START,Approximately at what day hour did the client apply for the previous application,Approximativement à quelle heure le client a-t-il demandé la demande précédente
183,FLAG_LAST_APPL_PER_CONTRACT,Flag if it was last application for the previous contract. Sometimes by mistake of client or our clerk there could be more applications for one single contract,"Drapeau si c'était la dernière demande pour le contrat précédent.Parfois, par erreur de client ou de notre greffier, il pourrait y avoir plus d'applications pour un seul contrat"
184,NFLAG_LAST_APPL_IN_DAY,Flag if the application was the last application per day of the client. Sometimes clients apply for more applications a day. Rarely it could also be error in our system that one application is in the database twice,"Drapeau Si l'application était la dernière application par jour du client.Parfois, les clients s'appliquent pour plus d'applications par jour.Rarement, cela pourrait également être une erreur dans notre système qu'une application est dans la base de données deux fois."
185,NFLAG_MICRO_CASH,Flag Micro finance loan,Drapeau Micro Finance Prêt
186,RATE_DOWN_PAYMENT,Down payment rate normalized on previous credit,Taux d'acompte normalisé sur le crédit précédent
187,RATE_INTEREST_PRIMARY,Interest rate normalized on previous credit,Taux d'intérêt normalisé sur le crédit précédent
188,RATE_INTEREST_PRIVILEGED,Interest rate normalized on previous credit,Taux d'intérêt normalisé sur le crédit précédent
189,NAME_CASH_LOAN_PURPOSE,Purpose of the cash loan,Objet du prêt en espèces
190,NAME_CONTRACT_STATUS,"Contract status (approved, cancelled, ...) of previous application","Statut du contrat (approuvé, annulé, ...) de l'application précédente"
191,DAYS_DECISION,Relative to current application when was the decision about previous application made,Par rapport à la demande actuelle lorsque la décision a été prise concernant la demande précédente
192,NAME_PAYMENT_TYPE,Payment method that client chose to pay for the previous application,Méthode de paiement que le client a choisi de payer pour l'application précédente
193,CODE_REJECT_REASON,Why was the previous application rejected,Pourquoi la demande précédente a-t-elle été rejetée
194,NAME_TYPE_SUITE,Who accompanied client when applying for the previous application,Qui a accompagné client lors de la demande de l'application précédente
195,NAME_CLIENT_TYPE,Was the client old or new client when applying for the previous application,Était le client ancien ou nouveau client lors de la demande de l'application précédente?
196,NAME_GOODS_CATEGORY,What kind of goods did the client apply for in the previous application,Quel type de biens le client a-t-il demandé lors de la demande précédente?
197,NAME_PORTFOLIO,"Was the previous application for CASH, POS, CAR, ","Était la demande précédente d'argent, pos, voiture,"
198,NAME_PRODUCT_TYPE,Was the previous application x-sell o walk-in,Était la demande précédente x-vendre o walk-in
199,CHANNEL_TYPE,Through which channel we acquired the client on the previous application,Par quel canal nous avons acquis le client sur la demande précédente
200,SELLERPLACE_AREA,Selling area of seller place of the previous application,Domaine de vente du lieu de vente de la demande précédente
201,NAME_SELLER_INDUSTRY,The industry of the seller,L'industrie du vendeur
202,CNT_PAYMENT,Term of previous credit at application of the previous application,Durée du crédit précédent lors de l'application de la demande précédente
203,NAME_YIELD_GROUP,Grouped interest rate into small medium and high of the previous application,Taux d'intérêt groupé en petit moyen et élevé de l'application précédente
204,PRODUCT_COMBINATION,Detailed product combination of the previous application,Combinaison de produit détaillée de l'application précédente
205,DAYS_FIRST_DRAWING,Relative to application date of current application when was the first disbursement of the previous application,Par rapport à la date d'application de la demande en cours lorsque le premier décaissement de la demande précédente
206,DAYS_FIRST_DUE,Relative to application date of current application when was the first due supposed to be of the previous application,Relatif à la date d'application de la demande actuelle lorsque le premier est censé être de la demande précédente
207,DAYS_LAST_DUE_1ST_VERSION,Relative to application date of current application when was the first due of the previous application,Relatif à la date d'application de la demande actuelle lorsque la première demande a été la première de la demande précédente
208,DAYS_LAST_DUE,Relative to application date of current application when was the last due date of the previous application,Relatif à la date d'application de la demande en cours lorsque la dernière date d'échéance de la demande précédente
209,DAYS_TERMINATION,Relative to application date of current application when was the expected termination of the previous application,Relatif à la date d'application de la demande en cours lorsque la résiliation attendue de la demande précédente
210,NFLAG_INSURED_ON_APPROVAL,Did the client requested insurance during the previous application,Le client a-t-il demandé une assurance lors de la demande précédente?
211,SK_ID_PREV ,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)","ID du crédit précédent dans le crédit d'origine relative au prêt dans notre échantillon.(Un prêt dans notre échantillon peut avoir 0,1,2 ou plusieurs prêts antérieurs au crédit à la maison)"
212,SK_ID_CURR,ID of loan in our sample,ID de prêt dans notre échantillon
213,NUM_INSTALMENT_VERSION,Version of installment calendar (0 is for credit card) of previous credit. Change of installment version from month to month signifies that some parameter of payment calendar has changed,Version du calendrier de l'acompte (0 est pour la carte de crédit) du crédit précédent.Le changement de version de l'acompte de mois en mois signifie que certains paramètres du calendrier de paiement ont changé
214,NUM_INSTALMENT_NUMBER,On which installment we observe payment,Sur quel versement nous observons le paiement
215,DAYS_INSTALMENT,When the installment of previous credit was supposed to be paid (relative to application date of current loan),Lorsque l'acompte de crédit précédent était censé être payé (par rapport à la date d'application du prêt en cours)
216,DAYS_ENTRY_PAYMENT,When was the installments of previous credit paid actually (relative to application date of current loan),Quand les versements de crédit précédents sont-ils réellement payés (par rapport à la date d'application du prêt en cours)
217,AMT_INSTALMENT,What was the prescribed installment amount of previous credit on this installment,Quel était le montant de l'acompte prescrit du crédit précédent sur ce versement
218,AMT_PAYMENT,What the client actually paid on previous credit on this installment,Ce que le client a réellement payé sur le crédit précédent sur ce versement
